t,demand_MW,solar_pu
2000-01-03T19:00:00,73.9,0
2000-01-03T20:00:00,68,0
2000-01-03T21:00:00,64.1,0
2000-01-03T22:00:00,62.8,0
2000-01-03T23:00:00,58.1,0
2000-01-04T00:00:00,52.8,0
2000-01-04T01:00:00,49.1,0
2000-01-04T02:00:00,47,0
2000-01-04T03:00:00,45.9,0
2000-01-04T04:00:00,46.1,0
2000-01-04T05:00:00,45.5,0
2000-01-04T06:00:00,44.1,0
2000-01-04T07:00:00,46.5,0.004830918
2000-01-04T08:00:00,50.3,0.256038647
2000-01-04T09:00:00,55.6,0.700483092
2000-01-04T10:00:00,60.3,0.888888889
2000-01-04T11:00:00,65.6,0.93236715
2000-01-04T12:00:00,65.9,0.787439614
2000-01-04T13:00:00,63.2,0.550724638
2000-01-04T14:00:00,60.7,0.275362319
2000-01-04T15:00:00,60.1,0.019323671
2000-01-04T16:00:00,63.4,0
2000-01-04T17:00:00,71.3,0
2000-01-04T18:00:00,73.1,0
2000-01-04T19:00:00,70.9,0
2000-01-04T20:00:00,66.8,0
2000-01-04T21:00:00,64.2,0
2000-01-04T22:00:00,63.9,0
2000-01-04T23:00:00,58.9,0
2000-01-05T00:00:00,54,0
2000-01-05T01:00:00,50.7,0
2000-01-05T02:00:00,49.4,0
2000-01-05T03:00:00,49.6,0
2000-01-05T04:00:00,51.7,0
2000-01-05T05:00:00,56.9,0
2000-01-05T06:00:00,66.2,0
2000-01-05T07:00:00,76.3,0.009661836
2000-01-05T08:00:00,82,0.29468599
2000-01-05T09:00:00,83.8,0.628019324
2000-01-05T10:00:00,85.9,0.777777778
2000-01-05T11:00:00,87.7,0.893719807
2000-01-05T12:00:00,87.7,0.874396135
2000-01-05T13:00:00,86.2,0.743961353
2000-01-05T14:00:00,84.7,0.444444444
2000-01-05T15:00:00,83.9,0.057971014
2000-01-05T16:00:00,85.9,0
2000-01-05T17:00:00,92,0
2000-01-05T18:00:00,92,0
2000-01-05T19:00:00,89,0
2000-01-05T20:00:00,82,0
2000-01-05T21:00:00,77.2,0
2000-01-05T22:00:00,74.1,0
2000-01-05T23:00:00,67,0
2000-01-06T00:00:00,61.8,0
2000-01-06T01:00:00,58,0
2000-01-06T02:00:00,56.3,0
2000-01-06T03:00:00,56.4,0
2000-01-06T04:00:00,57.7,0
2000-01-06T05:00:00,60.6,0
2000-01-06T06:00:00,67.4,0
2000-01-06T07:00:00,75.7,0.009661836
2000-01-06T08:00:00,79.7,0.256038647
2000-01-06T09:00:00,81.7,0.584541063
2000-01-06T10:00:00,84.2,0.821256039
2000-01-06T11:00:00,86.3,0.942028986
2000-01-06T12:00:00,86,0.884057971
2000-01-06T13:00:00,83.8,0.661835749
2000-01-06T14:00:00,81.5,0.328502415
2000-01-06T15:00:00,80.9,0.028985507
2000-01-06T16:00:00,83.8,0
2000-01-06T17:00:00,90.7,0
2000-01-06T18:00:00,90.7,0
2000-01-06T19:00:00,88.2,0
2000-01-06T20:00:00,82.1,0
2000-01-06T21:00:00,77.2,0
2000-01-06T22:00:00,73.9,0
2000-01-06T23:00:00,67.5,0
2000-01-07T00:00:00,61.8,0
2000-01-07T01:00:00,57.9,0
2000-01-07T02:00:00,56.9,0
2000-01-07T03:00:00,57.5,0
2000-01-07T04:00:00,59.2,0
2000-01-07T05:00:00,64.8,0
2000-01-07T06:00:00,77.9,0
2000-01-07T07:00:00,89.3,0.004830918
2000-01-07T08:00:00,94.1,0.154589372
2000-01-07T09:00:00,94.4,0.434782609
2000-01-07T10:00:00,95.9,0.589371981
2000-01-07T11:00:00,97.3,0.70531401
2000-01-07T12:00:00,96.7,0.647342995
2000-01-07T13:00:00,95.6,0.531400966
2000-01-07T14:00:00,93.7,0.265700483
2000-01-07T15:00:00,92.7,0.028985507
2000-01-07T16:00:00,94,0
2000-01-07T17:00:00,100,0
2000-01-07T18:00:00,99.2,0
2000-01-07T19:00:00,95.8,0
2000-01-07T20:00:00,88.9,0
2000-01-07T21:00:00,83.3,0
2000-01-07T22:00:00,79.2,0
2000-01-07T23:00:00,71.3,0
